trade_id,scenario_id,flow_class,reference_status,policy,notional_quote_micro,upfront_fee_quote_micro,retained_fee_quote_micro,rebate_quote_micro,lp_protection_quote_micro,adverse_selection_proxy_quote_micro,lp_net_after_proxy_quote_micro,settlement_status,rejected_reference_attempts,expired_settlements,reactive_callbacks,modeled_callback_gas_budget
0xbf7d20b241c3cfc7fda58fe5fae94d54ee10e10ed035822d427643f80a77cbf7,benign_random_flow,benign,valid,markout,4135000000,33080000,14133430,18946570,1728430,0,14133430,settled,0,0,2,800000
0xc48b1bd9f9e419e0f814208b52a6bec3f40496bd555486411845c0e2d9b32d85,benign_random_flow,benign,valid,fixed,1558000000,4674000,4674000,0,0,199424,4474576,not_required,0,0,0,0
0xc48b1bd9f9e419e0f814208b52a6bec3f40496bd555486411845c0e2d9b32d85,benign_random_flow,benign,valid,volatility,1558000000,5482602,5482602,0,0,199424,5283178,not_required,0,0,0,0
0xc48b1bd9f9e419e0f814208b52a6bec3f40496bd555486411845c0e2d9b32d85,benign_random_flow,benign,valid,markout,1558000000,12464000,6550611,5913389,1876611,199424,6351187,settled,0,0,2,800000
0x57fccf43a9718446fee37b659257e420f872e68afc3b76f06add54f1d6e69936,benign_random_flow,benign,valid,fixed,3726000000,11178000,11178000,0,0,0,11178000,not_required,0,0,0,0
0x57fccf43a9718446fee37b659257e420f872e68afc3b76f06add54f1d6e69936,benign_random_flow,benign,valid,volatility,3726000000,12739194,12739194,0,0,0,12739194,not_required,0,0,0,0
0x57fccf43a9718446fee37b659257e420f872e68afc3b76f06add54f1d6e69936,benign_random_flow,benign,valid,markout,3726000000,29808000,12832344,16975656,1654344,0,12832344,settled,0,0,2,800000
0x1a4bd72b035fbbc2cc1c99b241437fb1014ae8c0434321b803d02f60c5b47d07,benign_random_flow,benign,valid,fixed,4577000000,13731000,13731000,0,0,0,13731000,not_required,0,0,0,0
0x1a4bd72b035fbbc2cc1c99b241437fb1014ae8c0434321b803d02f60c5b47d07,benign_random_flow,benign,valid,volatility,4577000000,17021863,17021863,0,0,0,17021863,not_required,0,0,0,0
0x1a4bd72b035fbbc2cc1c99b241437fb1014ae8c0434321b803d02f60c5b47d07,benign_random_flow,benign,valid,markout,4577000000,36616000,14207008,22408992,476008,0,14207008,settled,0,0,2,800000
0xcc30ae86cc04e3414d627b45c707c2030a3034d37fc72a02f870a4010b158782,benign_random_flow,benign,valid,fixed,699000000,2097000,2097000,0,0,0,2097000,not_required,0,0,0,0
0xcc30ae86cc04e3414d627b45c707c2030a3034d37fc72a02f870a4010b158782,benign_random_flow,benign,valid,volatility,699000000,2696043,2696043,0,0,0,2696043,not_required,0,0,0,0
0xcc30ae86cc04e3414d627b45c707c2030a3034d37fc72a02f870a4010b158782,benign_random_flow,benign,valid,markout,699000000,5592000,2700936,2891064,603936,0,2700936,settled,0,0,2,800000
0x62b5a45ac16097ac776bcfc9ac51f47740cbd6bdcbb6f49e090c58ab489fad33,benign_random_flow,benign,valid,fixed,4126000000,12378000,12378000,0,0,0,12378000,not_required,0,0,0,0
0x62b5a45ac16097ac776bcfc9ac51f47740cbd6bdcbb6f49e090c58ab489fad33,benign_random_flow,benign,valid,volatility,4126000000,16215180,16215180,0,0,0,16215180,not_required,0,0,0,0
0x62b5a45ac16097ac776bcfc9ac51f47740cbd6bdcbb6f49e090c58ab489fad33,benign_random_flow,benign,valid,markout,4126000000,33008000,13071168,19936832,693168,0,13071168,settled,0,0,2,800000
