trade_id,trade_index,flow_class,direction,notional_quote_micro,execution_price_x18,reference_price_x18,markout_centibps,trailing_volatility_centibps
0x1adc572cadd680725133a9bf5cb30c14b28be96044f30dcb50d62bbf2704ad6a,238,benign,sell_base,384746710,3812434464863315083035,3812445919564532876800,-3,16
0x8dfa26b3d871b53bb17e897fd00a6d6a6ef4799b28a9f484082996f558e22f28,239,benign,buy_base,4137462851,3812467289938009139327,3812445919564532876800,-6,22
0x64d6224ed3016e39d34c609dbe747bb8abfca5535dbb45707cf34efe5137298e,240,benign,sell_base,457267109,3812463660330935410553,3812434522327004147590,8,20
0x4896e7da60e4e51015e14fc5a8a2e7937eec1315abb9c43c2f12a48f6075d665,241,benign,sell_base,410705121,3812459946615817254966,3812476762169027774263,-4,19
0x9de99a2bad28c697f8e1f4f6caeddd1951f31343e65a602e1da78fac1211f577,242,benign,buy_base,618973528,3812464857326493391421,3812476762169027774263,3,23
0x587690aab12588f883211668327ba6f66b903eb56932c937fbc11d2378215f09,243,benign,buy_base,5000000000,3812504525622559600449,3812475538106966981676,-8,27
0xff5fc3925df2bebdf3434e76b94870e1c8be7c464155bf91df85beb60edd657c,244,benign,sell_base,5519614486,3812460712987815394947,3812497184361113396916,-10,15
0x85c3faafd2ff26d79e7db02970e121230fdac516bfca6a8c54c7202899bae561,245,benign,sell_base,4009372481,3812428888246932830302,3812628344186217551848,-52,7
0x756e8f7e4b02b361fc4fae677061bd2481b54457e21aa6579552fdd9a1ae97d0,246,benign,buy_base,3936079527,3812460115595940571835,3812628145741780908969,44,15
0xb8777e6513d8bf13c1129167886aa2299e79631fd83e8fa62cc78f738a007444,247,benign,sell_base,2005000000,3812444158142483952195,3812630525884694500576,-49,13
0x46dec2d16ae83aaaf6ab0134d7ba76e70a10701a00c4fa8167205974f47c7b76,248,benign,buy_base,222020025,3812445919564532876800,3812987555735485094218,142,6
0x5fcd5bef0dc7707f9998be17b9aea8f075daea2704a1dbae2a01e8de6c97ce5d,249,benign,sell_base,537077616,3812441656465061780139,3812987555735485094218,-143,7
0x8504ce28ac535b3a491cdf957b4111fd9ab712363f5112c0f031060c29c3e681,250,benign,sell_base,898780043,3812434522327004147590,3812987555735485094218,-145,8
